backbone,dataset,label_budget_per_class,mean_accuracy,mean_accuracy_delta_vs_fp32_cpu,mean_best_deployment_improvement_vs_fp32_cpu,mean_latency_ms_per_example,mean_latency_reduction_vs_fp32_cpu,mean_macro_f1,mean_macro_f1_delta_vs_fp32_cpu,mean_model_size_mb,mean_model_size_reduction_vs_fp32_cpu,mean_peak_memory_mb,mean_throughput_examples_per_second,mean_throughput_gain_vs_fp32_cpu,method,n
albert-base-v2,qqp,256,0.725,-0.00234375,40.05968303542711,0.9492265065620131,0.975386978458926,0.7162053244808867,-0.002435343627320541,44.58638572692871,0.0,106.61611328125,1053.5510196572932,40.05968303542711,bf16_gpu,5
albert-base-v2,qqp,256,0.48515625,-0.2421875,0.6563246277855028,23.557081732968754,0.39571942197558013,0.43904004494522203,-0.2796006231629852,22.370460510253906,0.4982670125526034,0.0,42.955558708412504,0.6563246277855028,dynamic_int8_cpu,5
albert-base-v2,qqp,256,0.72734375,0.0,0.0,38.96155385031307,0.0,0.7186406681082071,0.0,44.58638572692871,0.0,0.0,25.921620105393252,0.0,fp32_cpu,5
albert-base-v2,qqp,256,0.72734375,0.0,39.834632510118446,0.9571488209371637,0.9753388373260246,0.7186406681082071,0.0,44.58638572692871,0.0,101.51083984375,1054.297926311595,39.834632510118446,fp32_gpu,5
albert-base-v2,qqp,64,0.64375,0.0015625,38.92822350324127,0.956589398750225,0.9747074393845296,0.624201388022651,0.0024485623467749964,44.58638572692871,0.0,106.61611328125,1045.7853278453724,38.92822350324127,bf16_gpu,5
albert-base-v2,qqp,64,0.51953125,-0.12265625,0.5660153094266255,24.389982522031346,0.36085495404158296,0.46168634147742593,-0.16006648419845007,22.370460510253906,0.4982670125526034,0.0,41.381057942352456,0.5660153094266255,dynamic_int8_cpu,5
albert-base-v2,qqp,64,0.6421875,0.0,0.0,38.17077967343721,0.0,0.621752825675876,0.0,44.58638572692871,0.0,0.0,26.43594589574557,0.0,fp32_cpu,5
albert-base-v2,qqp,64,0.6421875,0.0,41.39087590739688,0.8997858112496715,0.9763493780195993,0.621752825675876,0.0,44.58638572692871,0.0,101.51083984375,1116.748999000094,41.39087590739688,fp32_gpu,5
bert-base-uncased,qqp,128,0.7375,-0.00078125,30.821282527460703,1.0184049000000073,0.968263762556517,0.7345526284646472,-0.0007997632925437204,417.7237939834595,0.0,637.71328125,982.3047933859909,30.821282527460703,bf16_gpu,5
bert-base-uncased,qqp,128,0.52734375,-0.2109375,0.585641174576281,20.981915935624897,0.3526439459419673,0.40538896311160927,-0.3299634286455817,173.08754062652588,0.585641174576281,0.0,48.17265495492972,0.5449607437701895,dynamic_int8_cpu,5
bert-base-uncased,qqp,128,0.73828125,0.0,0.0,32.38833136421846,0.0,0.7353523917571909,0.0,417.7237939834595,0.0,0.0,31.15686395440134,0.0,fp32_cpu,5
bert-base-uncased,qqp,128,0.73828125,0.0,40.160626270842606,0.7859594921873736,0.9755554898996555,0.7353523917571909,0.0,417.7237939834595,0.0,460.896875,1273.1006947878946,40.160626270842606,fp32_gpu,5
bert-base-uncased,qqp,256,0.74453125,0.0015625,31.13127973966573,1.0154248553124035,0.9685602668984421,0.7345636203865498,0.001666086837988523,417.7237939834595,0.0,637.71328125,985.1098260522665,31.13127973966573,bf16_gpu,5
bert-base-uncased,qqp,256,0.621875,-0.12109375,0.5949708553310661,20.93039073953065,0.3587410543398237,0.5697318754496514,-0.1631656580989098,173.08754062652588,0.585641174576281,0.0,48.35087789847975,0.5603494082135613,dynamic_int8_cpu,5
bert-base-uncased,qqp,256,0.74296875,0.0,0.0,32.613121137187306,0.0,0.7328975335485612,0.0,417.7237939834595,0.0,0.0,30.957590186503836,0.0,fp32_cpu,5
bert-base-uncased,qqp,256,0.74296875,0.0,40.426585818431086,0.7861405576562674,0.9757112327395686,0.7328975335485612,0.0,417.7237939834595,0.0,460.896875,1272.7468488367024,40.426585818431086,fp32_gpu,5
bert-base-uncased,qqp,64,0.709375,-0.00078125,30.8718072224053,1.022869841406333,0.9683023890950331,0.7027330180643623,-0.0007981400511555048,417.7237939834595,0.0,637.71328125,977.6964201834687,30.8718072224053,bf16_gpu,5
bert-base-uncased,qqp,64,0.51640625,-0.19375,0.586526056293593,20.690252638593734,0.3652543769922668,0.37891739235299177,-0.32461376576252604,173.08754062652588,0.585641174576281,0.0,48.81866969468731,0.5754895084780977,dynamic_int8_cpu,5
bert-base-uncased,qqp,64,0.71015625,0.0,0.0,32.603661321250144,0.0,0.7035311581155178,0.0,417.7237939834595,0.0,0.0,30.992998014297253,0.0,fp32_cpu,5
bert-base-uncased,qqp,64,0.71015625,0.0,40.242893625323035,0.7892983409377052,0.9755924044266889,0.7035311581155178,0.0,417.7237939834595,0.0,460.896875,1267.811333812449,40.242893625323035,fp32_gpu,5
distilbert-base-uncased,qqp,128,0.6640625,0.0015625,26.28859806144177,0.5764126965625138,0.9630110099022456,0.659721380624536,0.001430799220875123,255.45206356048584,0.0,377.6552734375,1735.3734874658305,26.28859806144177,bf16_gpu,5
distilbert-base-uncased,qqp,128,0.6453125,-0.0171875,0.5533116397955236,10.126228386562417,0.35618810781853133,0.6305416299593153,-0.027748951444345592,132.28924465179443,0.48213671556240517,0.0,99.69817730760134,0.5533116397955236,dynamic_int8_cpu,5
distilbert-base-uncased,qqp,128,0.6625,0.0,0.0,15.722390126562615,0.0,0.6582905814036609,0.0,255.45206356048584,0.0,0.0,64.15763752381616,0.0,fp32_cpu,5
distilbert-base-uncased,qqp,128,0.6625,0.0,32.421417617594784,0.4697799490624277,0.9699417470619823,0.6582905814036609,0.0,255.45206356048584,0.0,298.53984375,2131.484920595063,32.421417617594784,fp32_gpu,5
distilbert-base-uncased,qqp,256,0.7109375,0.0,25.544061006157516,0.5782556912498649,0.9619653268306444,0.6985837379355908,0.00019529109643383612,255.45206356048584,0.0,377.6552734375,1729.8864791648593,25.544061006157516,bf16_gpu,5
distilbert-base-uncased,qqp,256,0.69375,-0.0171875,0.5441758979200992,9.944062057343714,0.3521970503602703,0.6834250633369114,-0.014963383502245464,132.28924465179443,0.48213671556240517,0.0,101.61143433863259,0.5441758979200992,dynamic_int8_cpu,5
distilbert-base-uncased,qqp,256,0.7109375,0.0,0.0,15.335631360468724,0.0,0.6983884468391569,0.0,255.45206356048584,0.0,0.0,65.73501909937433,0.0,fp32_cpu,5
distilbert-base-uncased,qqp,256,0.7109375,0.0,31.940043618765866,0.4651623785936465,0.9694690253714915,0.6983884468391569,0.0,255.45206356048584,0.0,298.53984375,2151.1337093757384,31.940043618765866,fp32_gpu,5
distilbert-base-uncased,qqp,64,0.61484375,-0.00078125,26.41952511001122,0.5888096992187997,0.9630543928188908,0.576828807100634,-0.0006566383304621226,255.45206356048584,0.0,377.6552734375,1699.6852775155057,26.41952511001122,bf16_gpu,5
distilbert-base-uncased,qqp,64,0.60546875,-0.01015625,0.5602625845223722,10.321274856875036,0.35897798697369715,0.5681568772344352,-0.009328568196660947,132.28924465179443,0.48213671556240517,0.0,97.71596624149502,0.5602625845223722,dynamic_int8_cpu,5
distilbert-base-uncased,qqp,64,0.615625,0.0,0.0,16.110261337187524,0.0,0.5774854454310961,0.0,255.45206356048584,0.0,0.0,62.66058072497666,0.0,fp32_cpu,5
